fname_c1,fname_c2,lname_c1,lname_c2,by,bm,bd
KURT,,SCHNEIDER,,1945,2,8
GUENTHER,,RICHTER,,1999,5,24
DIETER,,BECK,,1944,9,1
MARKUS,,SCHMIDT,,1991,2,4
RAINER,,SCHWARZ,,2008,1,26
PETER,,SCHULZ,,1947,8,22
GUENTHER,,VOGT,,1970,8,2
WOLFGQANG,,PFEIFFER,,1924,8,11
THOMAS,,SCHULZ,,1968,1,24
THORSTEN,,LANGE,,1980,7,29
FRANK,,FRANKE,,1955,2,9
DIETER,,BRAUN,,1997,2,26
ANDREAS,,SCHULZE,,1939,1,24
HELMUT,JENS,SCHUBERT,,1967,5,12
PAUBL,,MAIER,,1947,6,11
KLAUS,,FISCHER,,1954,8,6
RENE,,MUELLER,,1980,8,27
UWE,,MUELLER,,1961,3,25
KARL,,POHL,,1987,12,30
THORSTEN,,ENGEL,,1952,8,8
KURT,,SEIDEL,,1975,10,20
UWE,,SCHULZ,,1945,11,4
WOLFGANG,,KOEHLER,,2000,9,25
DIETER,,LANG,,1972,9,26
FRANK,,SCHNEIDER,,1937,11,17
FRANK,,WOLF,,1938,8,18
DENNIS,,MUELLER,,1989,11,8
MANFRED,,MEYER,,1964,3,25
BERND,,LANG,,1941,2,9
JUERGEN,,WALTER,,1955,8,27
OLIVER,ANDREAS,SCHMIDT,,1979,1,18
MARTIN,,MUELLER,,1977,5,27
WERNER,,BERGER,,1943,5,1
ULRICH,,SOMMER,,1987,12,9
UWE,,PFEIFFER,,1971,1,2
GERD,,LANG,,1933,12,20
HELMUT,,WINTER,,1979,5,15
HEINZ,,KUHN,,1950,4,7
RALF,,LEHMANN,,1943,7,25
HERBERT,,KELLER,,1940,5,17
PETER,,HERRMANN,,1964,1,3
PETER,,HEINRICH,,1956,12,27
CARSTEN,,KLEIN,,1982,7,24
JOERG,,MEIER,,1974,1,10
RALF,,WAGNER,,1933,9,7
DIETER,HERMANN,MUELLER,,1970,7,22
MANFRED,,MUELLER,,1965,8,13
FRANK,,MUELLER,,1946,8,18
FRANK,,KOCH,,1972,7,5
ALFRED,,HARTMANN,,1938,4,12
HORST,,HOFFMANN,,2008,8,1
AXEL,,ZIMMERMANN,,1988,6,23
JENS,,FISCHER,,1949,11,20
HARALD,,WEBER,,1924,10,8
RICHARD,,MUELLER,,1974,9,3
CARSTEN,,KELLER,,1980,1,18
GERHARD,,WEISS,,1998,2,21
FLORIAN,,MUELLER,,1935,11,29
DIETER,,LANGE,,1964,4,8
WILHELM,,BECKER,,1998,10,27
BERND,,ROTH,,1988,10,31
CHRISTIAN,,FISCHER,,1954,8,14
JOERG,,KRUEGER,,1958,1,6
THOMAS,,BOEHM,,1950,4,22
STEFAN,,SCHMIDT,,1975,7,19
SVEN,,KOCH,,1976,5,29
CARSTEN,,FRIERICH,,1934,11,15
THOMAS,,SCHAEFER,,1992,12,25
ALEXANDER,,LORENZ,,1931,11,19
GUENTHER,,WALTER,,1956,3,11
MANFRED,JOERG,SCHULZ,,1959,5,25
GEORG,,KOERTIG,,1975,9,26
PETER,,SAUER,,1959,9,28
CHRISTIAN,,BERGMANN,,1937,1,26
DANIEL,,BRAUN,,1969,4,22
WERNER,,FUCHS,,1935,10,2
RAINER,,LEHMANN,,1966,7,14
HELMUT,,MUELLER,,1961,7,29
DIRK,,RICHTER,,1964,7,4
KALAUS,,WOLF,,1972,10,16
GERD,,LANG,,1938,12,20
ANDREAS,,HUBER,,1983,5,3
NORBERT,,MUELLER,,1928,11,10
DIETER,,WEBER,,1957,2,9
HORST,,SCHMIDT,,1967,9,11
HORST,JENS,SCHULZE,,1968,8,21
ANDREAS,,KRAUS,,1967,11,27
KURT,,RICHTER,,1999,7,14
ERNST,,SCHULZ,,2003,2,28
THOMAS,,BERGER,,1981,2,28
KLAUS,,SCHMITT,,1960,6,19
JAN,,SCHNEIDER,,1941,7,9
ALEXANDER,,KOEHLER,,1964,1,3
MANFRED,,NEUMANN,,1954,11,15
JUERGEN,,LEHMANN,,2005,9,18
JUERGEN,,FISCHER,,1969,1,15
JOHANNES,,KOCH,,1965,9,1
JAN,,HOFFMANN,,1924,5,20
GERHARD,,FRANK,,1964,12,28
ANDREAS,,SCHMITZ,,1981,11,12
MAIK,,JUNG,,1987,8,26
CHRISTOPH,,MUELLER,,1952,8,19
SVEN,,HORN,,1964,12,4
DANIEL,,HOFFMANN,,1926,9,19
SVEN,,WAGNER,,1993,2,12
DIETER,,SOMMER,,1937,12,17
WERNER,,GROSS,,1942,9,20
WILHELM,,WEBER,,1981,1,18
KLAUS,,MARTIN,,1979,1,17
KLAUS,,WOLF,,1972,10,16
GERHARD,,KOCH,,1964,2,27
CHRISTIAN,,SCHMIDT,,1990,5,3
OLIVER,,BAUER,,1957,6,29
JOACHIM,,HOFMANN,,1994,3,23
JUERGEN,DIRK,MUELLER,,2006,2,5
JOACHIM,,BRAUN,,1931,3,2
RAINER,,BECK,,1980,12,8
JOERG,,SEIDEL,,1980,8,11
UWE,,MOELLER,,1949,1,16
KLAUS,,WERNER,,1952,2,21
FRIEDRICH,,SCHAEFER,,1945,1,12
JOERG,,KRUEGER,,1958,1,7
STEFAN,,SCHNEIDER,,1997,2,1
RUDOLF,,LORENZ,,1991,8,4
RUDOLF,,MUELLER,,1939,8,21
THORSTEN,,ERNST,,1973,10,10
FRANK,,MAIER,,1946,10,11
MATTHIAS,,KOEHLER,,1986,1,12
MARKUS,,MEYER,,1977,4,22
DANIEL,,ALBRECHT,,1981,1,28
ROLF,,ZIEGLER,,1983,7,1
THOMAS,,FRIEDRICH,,1962,5,28
THOMAS,,MUELLER,,1966,10,20
WALTER,THORSTEN,LUDWIG,,1962,6,20
BERND,,SAUER,,1976,4,21
JAN,,RICHTER,,2003,10,27
ERICH,,WEBER,,1937,4,19
JUERGEN,,KOERTIG,,1930,3,23
MARTIN,,SCHAEFER,,1931,6,10
HOLGER,,VOGEL,,1968,9,16
ANDREAS,,DIETRICH,,1939,4,1
FRANK,,STEIN,,1929,4,13
WALTER,,WEBER,,1950,5,11
WERNER,,HOFMANN,,1977,6,18
THOMAS,,FISCHER,,1995,12,10
MARTIN,,BUSCH,,1962,6,28
SVEN,,BOEHM,,1948,2,20
HANS,,WERNER,,1976,9,9
RAINER,NILS,SCHMITZ,,1978,9,27
WOLFGANG,,KAISER,,1966,2,4
UWE,,HERRMAHN,,1990,9,26
ANDREAS,,KRAUSE,,1962,12,23
HANS,,MUELLER,,1954,1,10
GERHARD,WERNIR,SCHUKZ,,1937,10,20
GUENTHER,,LANGE,,1950,12,20
MANFRED,,SCHROEDER,,1948,12,5
GUENTHER,,KUEHN,,1982,12,15
ANDREAS,,MUELLER,,1980,10,25
FRANK,,BECKER,,1961,6,19
HEINRICH,,MUELLER,,1933,8,15
ANDREAS,,FRANKE,,2003,9,2
CHRISTIAN,,HOFFMANN,,1975,5,12
ALEXANDER,,KUHN,,1957,2,14
GERD,,SCHMIDT,,1968,11,30
HEINZ,,LANGE,,1963,1,22
DIETER,,KELLER,,1983,8,6
ANDREAS,,HUBER,,1991,10,15
PETER,,KRAUSE,,1969,5,17
RAINER,,SCHULTE,,1991,4,6
WALTER,,KOCH,,1987,10,28
MICHAEL,JUERGEN,SCHAEFER,,2004,1,19
RENE,,HOFFMANN,,1995,1,22
MICHAEL,,HUBER,,1980,11,20
PAUL,,BUSCH,,1994,6,24
SEBASTIAN,,SCHNEIDER,,2007,9,30
MARTIN,,KLEIN,,1978,3,1
ANDREAS,,SEIDEL,,1998,12,31
GERD,,SCHREIBER,,1969,5,11
THORSTEN,,MEIER,,1962,10,22
PETER,,FRANKE,,1961,2,21
UWE,,SCHMIDT,,1926,2,16
ANDRE,,SCHULZE,,1988,2,7
BERND,,SCHROEDER,,1945,2,6
JOERGD,,SCHWARZ,,1939,1,11
THORSTEN,,KRAEMER,,1951,9,8
MARTIN,,SCHMITT,,1989,2,13
JAN,,POHL,,1999,1,3
MARKUS,,BAUER,,1949,1,12
PEPTER,,FRANK,,1990,7,1
UWE,,WINKLER,,1973,10,19
MICHAEL,,SCHNEIDER,,1973,4,2
KLAUS,,MUELLER,,1956,11,23
PETER,,SCHMIDT,,1966,2,8
JUERGEN,,MUELLER,,1993,8,31
KLAUS,,MUELLER,,1997,4,25
MARTIN,,HERRMANN,,1925,11,16
FRANK,,FISCHER,,1948,12,28
NORBERT,,HEINRICH,,1963,11,9
JOACHIM,,SCHMIDT,,1984,2,13
WERNER,,SCHULZ,,1950,1,10
JUERGEN,,SCHMIDT,,1991,7,17
MARTIN,,HAHN,,2008,7,28
ROBERT,,KAISER,,1998,3,2
KLAUS,,KRAUS,,1980,1,23
GUENTHER,,KUHN,,1982,11,7
ANDREAS,,SCHAEFER,,1958,1,7
MATTHIAS,,PETERS,,2001,7,29
PAUL,,SCHULZ,,1931,12,17
DIETER,,WEBER,,1978,7,12
WOLFGANG,,HERRMANN,,2001,9,4
GUENTHER,,ENGEL,,1982,2,20
UWE,,MUELLER,,1937,11,28
HORST,,JUNG,,1956,1,22
MATTHIAS,,MUELLER,,1966,9,21
ROLF,,SCHNEIDER,,1960,2,3
HEINZ,,SCHUSTER,,1959,8,14
JENS,,RICHTER,,1994,2,4
RALF,,BAUER,,1956,5,15
JENS,,SCHMITZ,,1966,10,22
PATRICK,,HEINRICH,,1927,6,28
VOLKER,,BECKER,,1939,4,11
KLAUS,,SEIDEL,,1992,5,5
MICHAEL,,FISCHER,,1929,6,11
KAI,,LANGE,,1949,2,8
ERNST,,HOFMANN,,1996,2,3
THORSTEN,,WEISS,,1941,5,14
STEFAN,,BECKER,,2002,10,10
JOERG,,WALTER,,1988,3,6
KAI,,SCHMIDT,,1951,11,18
PAUL,,PETERS,,1978,3,16
GERHARD,,VOGEL,,1969,8,23
CHRISTIAN,,SCHMIDT,,1966,9,12
FRITZ,,MEIER,,2001,5,7
CARSTEN,,WERNER,,1953,5,6
FRANK,,KLEIN,,1973,9,6
MARKUS,,FUCHS,,1977,8,2
ANDREAS,,MUELLER,,1992,4,3
HORST,,SCHUBERT,,1934,10,4
PETER,,SCHUBERT,,1957,8,20
PETER,,WAGNER,,1998,6,17
PETER,,RICHTER,,1941,10,22
HERBERT,,SCHUBERT,,1958,10,22
MARCO,,LEHMANN,,1944,7,16
PETER,,SCHUBERT,,1967,8,20
MICHAEL,,ZIEGLER,,1980,11,30
HANSC,,LORENZ,,1930,8,22
ALEXANDER,,MUELLER,,1981,4,7
MARTIN,OLAF,SCHULZE,,1942,7,5
DANIEL,,KRAUSE,,1980,2,5
DIRK,,DIETRICH,,1965,12,3
ROLF,,SCHUBERT,,1983,10,13
CARSTEN,,VOGT,,1969,8,24
KLAUS,,HOFMANN,,1930,11,2
THOMAS,,FRANK,,1953,2,8
UWE,,MUELLER,,1971,8,4
HORST,,LEHMANN,,1969,6,25
VOLKER,,FISCHER,,1954,2,10
WOLFGANG,,PETERS,,1967,11,24
RUEDIGER,MICHAEL,SCHMITZ,,1968,12,26
MARTIN,,WEBER,,1929,9,27
HERMANN,,VOGEL,,1995,6,29
ROLF,,KOCH,,1930,6,21
HEINZ,,SCHMIDT,,1963,9,4
PETER,,RICHTER,,1970,8,14
THOMAS,,WOLF,,1960,8,25
RAINER,,POUHL,,1971,10,24
MATTHIAS,,SCHMIDT,,1958,4,4
HOLGER,,WAGNER,,1985,4,9
DIETER,,SAUER,,1964,11,2
THORSTEN,,KUEHN,,1939,10,12
WALTER,,KRAEMER,,1935,9,9
FRANK,,SCHMITZ,,2004,12,14
WERNER,,BRANDT,,1998,9,18
HANS,,SCHMIDT,,1942,10,23
HORST,,MUELLER,,2001,2,20
STEFAN,,WAGNER,,1962,4,24
STEFAN,,HOFFMANN,,1982,1,29
ANDREAS,,MAIER,,1969,12,2
STEFAN,,HOFFMAFN,,1984,6,26
ANDREAS,,SCHNEIDER,,1934,8,29
KLAUS,,WAGNER,,1968,5,14
ROLF,,STEIN,,1953,6,24
GUENTHER,,HERRMANN,,1941,4,25
ANDRE,,NEUMANN,,1938,2,8
WILHELM,,KRUEGER,,1989,8,19
HELMUT,,ROTH,,1961,6,8
JUERGEQN,,MUELLER,,1964,5,24
MICHAEL,,SCHMIDT,,1984,7,8
MARKUS,,SAUER,,1943,12,11
HANS,,SCHAEFER,,1929,7,3
HANS,,VOGEL,,1971,7,7
GERD,,ENGEL,,1963,11,22
ERNST,,BECKER,,1980,6,8
WILVHELM,,HAHN,,1979,11,28
MARRK,,SCHAEFER,,1947,1,28
KLAUS,,WALTER,,2001,2,24
HORST,,MUELLER,,1981,8,21
THORSTEN,,MUELLER,,1938,9,12
HELMUT,,SCHNEIDER,,1956,10,6
ROLF,,SCHAEFER,,1962,4,12
HORST,,ENGEL,,2001,6,29
HERMANN,,SCHNEIDER,,1974,1,17
HORST,,SCHULZE,,1970,12,10
DIETER,WOLFGANG,MEIER,,1959,8,20
KLAUS,,MAIER,,1965,10,4
WERNER,,SCHULZ,,1955,5,1
HOLGER,,NEUMANN,,1959,12,14
FRANK,,BECKER,,1969,9,2
HORST,,SCHOLZ,,1930,11,14
KLAUS,,JUNG,,1975,5,30
JAN,,HUBER,,1970,7,19
CHRISTIAN,,BRANDT,,2001,1,25
DIETHER,,WINTER,,2008,11,1
NORBERT,,HARTMANN,,2006,10,24
MARTIN,,SCHULZ,,1958,7,19
THOMAS,,KOCH,,1924,9,19
HEINZ,,SCHROEDER,,1995,10,13
DIETER,,HAAS,,1991,8,27
ULRICH,,HARTMANN,,1948,4,1
KLAUS,,MOELLER,,1975,3,7
CHRISTIAN,,WINTER,,1992,7,2
HEINZ,GERD,KOCH,,1975,1,20
PETER,,BAUEF,,1943,12,13
GUENTHER,,HARTMANN,,1931,2,23
MARKUS,,ZIEGLER,,1961,1,1
RAINER,,MUELLER,,1987,9,5
PETER,,SCHWARZ,,1974,8,31
MATTHIAS,,WEISS,,1987,9,19
HERBERT,,SCHULZE,,1955,9,4
BERNHARD,,DIETRICH,,1947,4,20
THOMAS,,KRUEGER,,1964,1,27
ANDREAS,,SCHMITZ,,2001,9,30
LOTHAR,,BOEHM,,1935,5,6
THOMAS,,NEUMANN,,1958,11,6
CARSTEN,,THOMAS,,1977,6,26
GUENTHER,,WALTER,,1973,7,8
AXEML,,KLEIN,,1960,9,10
PAUL,,MUELLER,,1957,10,15
CHRISTIAN,,KOCH,,1961,5,7
BERND,MARCO,FISCHER,,1943,4,1
ALEXANDER,,BRANDT,,1991,5,1
OLIVER,,SCHOLZ,,1994,9,17
OTTO,,SCHMIDT,,1947,12,19
WILHELM,,HAHN,,1979,11,28
HORST,,ENGEL,,1996,11,10
PETER,,DIETRICH,,1970,9,5
THOMAS,,MUELLER,,2004,3,9
WOLFGANG,,WEBER,,1958,7,26
KARL,,KRUEGER,,1963,9,30
HANS,,SCHULZE,,1972,3,8
HELMUT,,GUENTHER,,1949,6,29
KLAUS,,BERGER,,1960,2,13
WERNER,,PFEIFFER,,1956,6,4
HORST,GERHARD,KAISER,,1985,3,27
MICHAEL,,FUCHS,,1966,5,17
KARL,,FRIEDRICH,,1951,12,8
RUDOLF,,SCHMIDT,,1928,8,13
JAN,,MUELLER,,2005,11,27
FRANK,,WEBER,,1939,2,19
SVEN,,SCHREIBER,,1985,9,17
GERHARD,,SCHMIDT,,1981,6,14
HORST,,SCHULTE,,1999,10,22
CARSTEN,,FISCHER,,2000,4,14
RAINER,,HERRMANN,,1975,9,30
SVEN,,MEYER,,1948,1,15
HERBERT,,MUELLER,,1991,8,15
BERND,,MAYER,,1928,1,10
BERND,,KAISER,,1976,1,18
PAUL,,HARTMANN,,1940,6,28
MARCO,,LORENZ,,1968,12,17
CARSTEN,,MEYRR,,1952,8,16
GUENTHER,,SCHNEIDER,,1980,8,7
THORSTEN,,MEYER,,1932,10,15
JUERGEN,,SCHUSTER,,1968,11,21
MARKUS,,BOEHM,,1976,12,4
UWE,,JAEGER,,1971,3,17
MICHAEL,,BERGMANN,,1956,5,23
HOLGER,,KOCH,,1930,8,21
HELMUT,,FISCHER,,1969,3,20
PETER,ROLF,ZIMMERMANN,,1945,11,21
GERHARD,,SCHULZE,,1946,9,20
MANFRED,JUERGEN,HERRMANN,,1997,3,26
JOACHIM,,KOERTIG,,1981,4,24
UWE,,KOCH,,2006,4,27
HORST,,WINKLER,,1990,7,2
BERND,,GRAF,,1946,6,17
KURT,,BUSCH,,1992,11,25
ALEXANDER,HOLGER,KUHN,,1961,6,6
GUENTHER,,MEYER,,1979,6,13
WILLI,,GROSS,,1969,5,30
ROLF,,FISCHER,,1969,2,20
RAINER,,ALBRECHT,,1983,4,29
STEFAN,,WAGNER,,1926,8,22
NILS,,LANGE,,1983,3,31
NILS,,SCHMIDT,,1936,10,6
MICHAEL,,ROTH,,1968,12,26
MARIO,,KRUEGER,,1969,9,22
PETEAR,,LORENZ,,1961,9,6
WOLFGANG,,KLEIN,,1943,8,25
FRANK,,MUELLER,,1985,12,4
KURT,,SCHAEFER,,2004,12,9
MICHAEL,,MEYER,,1939,4,9
SVEN,,KOCH,,1991,8,12
HELMUT,,SCHULZ,,2008,7,3
JAN,,FRIEDRICH,,1949,10,8
MARTIN,,LEHMANN,,1991,1,13
DIETER,,SCHNEIDER,,1952,1,4
SEBASTIAN,,HOFMANN,,1950,7,11
KLAUS,,WEBER,,1980,8,1
JOACHIM,,LEHMANN,,1959,5,10
SVEN,,BRANDT,,1955,5,28
UWE,,SCHULZE,,1977,5,8
JUERGEN,,HEINRICH,,1956,7,22
JENS,,WAGNER,,1976,8,14
GERHARD,,WAGNER,,2006,7,9
HOLGER,,MEIER,,1986,7,11
UWE,,MUELLER,,1971,10,18
GERHARD,,HOFMANN,LORENZ,1978,5,20
VOLKER,,SOMMER,,1973,10,30
ROLF,,HOFMANN,,1984,11,2
STEFAN,,SCHNEIDER,,1967,3,31
THOMAS,,MUELLER,,1961,12,26
HELMUT,,MEYER,,1992,12,22
GUENTHER,WOLFGANG,KUHN,,1963,8,6
STEFAN,,SCHNEIDER,,1970,10,29
HELMAUT,,MAYER,,1965,7,23
MARCEL,,RICHTER,,2003,6,21
GERD,,NEUMANN,,1942,4,7
JUERGEN,,THOMAS,,1992,10,24
KLAUS,,BECKGR,,1966,11,2
HERBERT,,LUDWIG,,1986,3,28
HARALD,,WOLFF,,1985,3,24
FRANK,,SCHROEDER,,1994,9,14
WALTER,,MUELLER,,2005,4,27
JENS,,MEYER,,1960,2,2
GEORG,,HEINRICH,,2005,4,17
RAINER,,WAGNER,,1962,7,21
GERD,,RICHTER,,1937,11,12
ANDRE,,HAHN,,1999,2,9
GUENTHER,,MOELLER,,1999,6,26
WERNER,TOBIAS,BRANDT,,1998,6,4
BERND,,FISCHER,,1970,3,29
WOLFGANG,,FISCHER,,2004,8,3
CHRISTIAN,,WOLF,,1982,2,17
MANFRED,,SCHULZ,,1989,1,9
KLAUS,,KOCH,,1985,4,23
MATTHIAS,,HARTMANN,,1964,12,18
MICHAELL,,WEBER,,1976,3,31
ALEXANDER,,NEUMANN,,1955,7,21
WOLFGANG,,BECKER,,2007,4,75
WILHELM,,WALTER,,1946,11,19
MANFRED,,SCHWARZ,,1937,7,1
MARTIN,,BAUER,,1939,3,22
GUENTHER,,BECKER,,1973,11,29
WERNER,,MEYER,,1933,3,22
DIRK,,SCHAEFER,,1958,6,22
MICHAEL,HOLGER,WEBER,,1955,9,29
JOERG,,HARTMANN,,1945,4,1
CARSTEN,,KUHN,,1966,12,17
KLAUS,,STEIN,,1978,8,2
CHRISTIAN,,WEBER,,1982,9,19
WALTER,,JAEGER,,1968,1,22
MANFRED,,MUELLER,,1956,9,6
JOACHIM,,MUELLER,,1954,6,11
OLIVER,,KOCH,,1954,1,20
JENS,,LANGE,,1942,11,18
ROLF,,BECKER,,1964,9,3
MATTYHIAS,,MOELLER,,1956,6,28
JENS,,HOFFMANN,,1969,4,22
VOLKER,,SCHMIDT,,1987,10,16
ROLF,,KAISER,,1986,9,11
MARKUS,,SCHMIDT,,1991,2,5
GUENTHER,,KOEHLER,,1986,11,3
DIETER,,BOEHM,,1966,9,16
JUERGEN,,FUCHS,,1961,5,17
CHRISTIAN,,BECKER,,1998,10,6
CHRISOTIAN,,SCHOLZ,,1986,9,1
JOERG,,SCHWARZ,,1939,1,11
THOMAS,,LORENZ,,1958,8,30
DIETER,,LEHMANN,,1954,4,17
DIRK,,LANGE,,1985,4,19
ERICH,,MEIER,,1974,5,3
TOBIAS,,ROTH,,1997,10,19
FRANAK,,RICHTER,,1954,9,5
JUERGEN,UWE,LANG,,1942,5,17
THOMAS,,MEYER,,1943,3,21
CARSTEN,,SCHNEIDER,,1944,12,21
MARIO,,POHL,,1993,2,9
ANDREAS,,BAUER,,1976,4,10
MICHAEL,,WEISS,,1993,8,5
GERHARD,,WAGNER,,1962,4,6
BERND,,SEIDEL,,1970,6,14
CARSTEN,,VOGT,,1989,12,29
BERND,,DIETRICH,,1968,11,28
FRANK,,BECKER,,1982,1,23
WALTER,,KRUEGER,,1925,11,28
THORSTEN,,HARTMANN,,1946,8,11
MARKUS,,BECKER,,1972,6,18
OLAF,,WAGNER,,1924,10,29
FRIEDRICH,SVEN,ENGEL,,1936,1,28
STEFAN,,RICHTER,,1964,6,20
UWE,,WERNER,,1933,12,19
GUENTHER,,WAGNER,,1947,5,26
ROLF,,FRIEDRICH,,1930,3,30
BERND,,BECKER,,1991,9,19
GUENTHER,,MUELLER,,1991,4,9
PETER,,MAYER,,1995,2,14
ALEXANDER,,BAUER,,1938,3,16
HEIKO,,BRAUN,,2000,7,14
HELMUT,,RICHTER,,1970,7,15
CARSTEN,,SCHAEFER,,1964,2,23
WERNER,,SCHULZ,,1963,4,5
HORST,,MEYER,,1926,4,7
GERHARD,,KOCH,,1962,5,20
LARS,,SCHULZ,,1951,9,14
HOLGER,,FRANK,,1967,5,20
HERMANN,,SCHMITT,,1987,12,13
KLAUS,,WALTER,,1972,1,24
MANFRED,,MEYER,,1952,3,14
GEORG,,HARTMANN,,1989,8,12
KAI,,THOMAS,,1924,12,20
KLAUS,,MUELLER,,1967,9,1
ANDREAS,,WEBER,,1951,11,4
HANS,,KOCH,,1984,8,30
HEINRICH,,BAUER,,1967,7,12
GERHARD,,STEIN,,1939,11,16
JUERGEN,,WAGNER,HOFFMANN,1970,2,25
JUERGEN,,FISCHER,,1987,8,23
WALTER,,BERGMANN,,1964,5,13
FRITZ,,ERNST,,1963,11,24
HELMUT,,SCHNEIDER,,1928,8,4
HEINRICH,,KOCH,,1969,10,15
HORST,,FRIEDRICH,,2008,11,9
WERNER,,SCHULZE,,2006,12,1
BENJAMIN,,PFEIFFER,,1990,11,28
STEFAN,,LORENZ,,1973,12,8
JENS,,HOFFMANN,,1926,9,7
MARTIN,,SCHULZ,,1927,2,15
JOERG,,HARGMANN,,1945,4,1
BERND,,STEIN,,1967,8,11
UWEQ,,SCHULZ,,1945,11,4
MICHAEL,,GRAF,,1964,12,13
JOERG,,GROSS,,1953,2,4
ANDREAS,,KUEHN,,1954,8,5
KLAUS,,ALBRECHT,,1996,8,14
JUERGEN,,SCHREIBER,,2005,6,24
UWE,,DIETRICH,,1966,6,12
STEFAN,,HOFMANN,,1980,8,5
FLORIAN,,THOMAS,,1988,11,11
ERICH,,KAISER,,2006,12,23
MARKUS,HARTMUT,NEUMANN,,1948,7,31
UWE,,WEISS,,1962,2,27
MATTHIAS,,WEBER,,1988,6,3
ALEXANDER,,SCHMITZ,,1990,10,1
GUENTHER,,SCHMOD,,1926,7,28
MARCO,,MEYER,,1964,7,3
THOMAS,,KOCH,,1957,8,16
THOMAS,,HAHN,,1978,12,27
HELMUT,,WINTER,,1967,1,26
THOMAS,,BUSCH,,1955,6,18
DANIEL,,OTTO,,1975,8,19
STEFAN,,HEINRICH,,1996,12,4
STEFAN,,NEUMANN,,1983,11,22
JENS,,SCHULZ,,1951,7,24
CHRISTOPH,,SCHUSTER,,1960,5,12
JUERGEN,,WOLF,,1943,3,25
JOACHIM,,KRAUS,,1963,7,10
BERND,,MUELLER,,1998,12,30
HERBERT,,LEHMANN,,1940,4,26
HOLGER,,BERGER,,1997,12,8
ERICH,,HUBER,,1943,1,17
PETER,,HAHN,,1975,1,30
STEFAN,,SCHMITZ,,1997,2,8
WOLFGANG,,VOIGT,,1986,4,30
HEINZ,,MUELLER,,1968,5,17
CARSTEN,,HERRMANN,,1962,11,8
MARKUS,,SCHOLZ,,1974,7,20
DANIEL,,HERRMANN,,1980,2,3
KLAUS,,HUBER,,1961,7,7
ALEXANDER,,FRANK,,1990,12,11
DIRK,,HOFFMANN,,1984,6,1
JOHANN,,MOELLER,,1928,6,2
JUERGEN,,SCHMITZ,,1999,10,27
UWE,,LANGE,,1983,10,8
HANS,,KRAEMER,,1978,6,13
WOLFGAZNG,,NEUMANN,,1940,8,27
JAN,,LANG,,1968,11,7
PETER,,BUSCH,,1928,8,19
MARTIN,,MAIER,,2008,1,1
THOEMAS,,JAEGER,,1967,12,6
NORBERT,,FRIEDRICH,,1962,10,22
WILHELM,,KRAUSE,,1943,1,23
WOLFGANG,,POHL,,1997,3,16
MATTHIAS,,HARTMANN,,1977,4,8
ANDREAS,,MEIER,,1932,4,23
ALEXANDER,,MARTIN,,1961,3,4
PAUL,,SCHMIDT,,1976,7,16
WERNER,,WERNER,,1972,11,19
ROBERT,,KLEIN,,1942,10,14
MARTIN,,SCHNEIDER,,1992,6,27
JUERGEN,,BERGER,,1992,2,27
DIETER,,SCHUSTER,,1994,12,25
GERHARD,,MUELLER,,1968,4,11
WOLFGANG,,ZIMMERMANN,,1936,4,22
HORST,,FISCHER,,1962,3,24
BERND,,SCHMID,,1985,9,3
HELMUT,,KRUEGER,,2006,3,1
BERND,,POHL,,1992,5,22
STEFAN,,KRAUSE,,1995,11,4
MANFRED,,SCHULTE,,1982,12,6
GUENTHER,HEINZ,SCHULTE,,1967,4,25
KLAUS,,MUELLER,,1935,11,1
ANDREAS,,PETERS,,1975,12,10
THORSTEN,,SCHULTE,,1952,5,12
CARSTPEN,,WERNER,,1953,5,6
HARALD,,WINKLER,,1971,1,8
HORST,,WEBER,,1943,11,25
KLAUS,,GUENTHER,,1958,12,6
THORSTEN,,RICHTER,,1990,6,9
FRANK,,KUHN,,1963,8,13
KARL,,SEIDEL,,1958,4,26
KURT,,VOIGT,,1986,12,2
KARL,,BUSCH,,2008,10,25
DIETER,,MEYER,,1991,11,4
PATRICK,,FUCHS,,1964,5,11
WERNER,,GUENTHER,,1998,5,23
ANDREAS,,JUNG,,1969,12,30
ALEXANDER,,LANGE,,1945,10,16
MARTIN,,BECK,,2000,5,29
HANS,,MUELLER,,1953,8,20
JUERGEN,,SCHWARZ,,1999,8,24
MARKUS,,MOELLER,,1925,6,7
ANDREAS,,PETERS,,1977,9,19
PETER,,KOCH,,1969,9,24
THOMAS,,FISCHER,,1942,11,21
HANSS,,SCHREIBER,,2008,11,27
OLIVER,,MUELLER,,1946,4,6
HANS,,SCHREIBER,,2008,11,27
GERHARGD,HELMUT,KOERTIG,,1973,3,5
FRIEDRICH,,BOEHM,,1968,7,15
JUERGEN,,SCHULZE,,1965,11,19
MATTHIAS,,BAUER,,1974,9,23
PAUL,,MAYER,,1976,3,4
GUENTHER,,HEINRICH,,2007,1,11
MARKUS,,LANGE,,1997,5,29
HORST,,BAUER,,1958,1,7
VOLKER,,MEYER,,1959,9,12
JUERGEN,,KOERTIG,,1965,10,22
THOMAS,,MEYER,,1941,7,3
PETER,,ZIMMERMANN,,1994,11,29
UWE,,SCHROEDER,,1935,8,20
MARCEL,,MEYER,,1961,12,22
GUENTHER,,MUELLER,,1993,11,19
ANDREAS,,HARTMANN,,1971,2,7
OTTO,,WERNER,,1959,2,9
